,0
0,0.2627422987279776
1,0.2295017393114288
2,0.23316396547460616
3,0.043095428191420204
4,0.048090284210041245
5,0.25647232124948105
6,0.5113238525740673
7,0.5991923759254685
8,0.7229420511824629
9,0.6519227882315117
10,0.7579695863630498
11,0.7376537687204885
12,0.6382257876298871
13,0.435598773652044
14,0.10923710293655997
15,0.0837999649328649
16,0.011723680228770128
17,0.0453542023915956
18,0.020306694087581456
19,0.1098722361265203
20,0.057219243415392196
21,0.08776386056683272
22,0.10200881237336301
23,0.18244612761498025
24,0.23884508448760045
25,0.2509853946070504
26,0.23506194594298624
27,0.22184048998874395
28,0.16555310215314167
29,0.19170988677494005
30,0.10549366649352221
31,0.14827133825341843
32,0.14263899480774567
33,0.4817244367484831
34,0.47432514769882517
35,0.5700062199445167
36,0.5019776342402386
37,0.17790836246808273
38,0.05914135631993189
39,0.1388393344149097
40,0.1252389555511475
41,0.06755011624685758
42,0.03783666850404821
43,0.03848245351458668
44,0.08221330633827928
45,0.1288808378501871
46,0.03864743891763733
47,0.05907216521027614
48,0.033162523267354915
49,0.06282359386274416
50,0.07199075488908124
51,0.04998420454803032
52,0.15276723838331951
53,0.06326037739865242
54,0.06239932813695914
55,0.05114706133109581
56,0.1304133416525064
57,0.3667442134909321
58,0.3159714518587978
59,0.4856925854875701
